小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
股票灯塔+,0,10327,0%,金融理财,金融理财投资股票行情,股票灯塔+,2017-01-20,股票灯塔小程序是一款全新的人工智能大数据炒股工具。灯塔表哥7X24小时智能问股诊股、大数据选股;更有筹码分布、相似K线、历史回看、个股直播等大数据分析工具。,0.0
密件,1,10315,100%,工具查询,邮件微信工具,ruochi,2017-02-10,密件小程序可以把需要保密发送图片文字的内容通过密件发送。对方只有5秒观看的时间，观看之后就会被销毁，不能再转发给他人。,5.0
米氏孕婴童+,1,10301,100%,母婴育儿,母婴用品育儿商城,韩朔-怕只怕冻煞那信鸽,2017-02-13,"米氏孕婴官方旗舰店,销售品牌孕婴用品.",5.0
CEODaily,0,10283,0%,阅读资讯,新闻视频最新资讯商业资讯,CEODaily,2017-02-06,商业版的今日头条,0.0
熟人招聘App,0,10277,0%,办公办公软件,找工作招聘求职兼职,熟人招聘App,2017-01-23,熟人招聘是一款社交型招聘产品。通过熟人圈子为你找到合适的候选人。,0.0
斗图表情助手,0,10271,0%,社交表情头像,搞笑段子社交趣味阅读表情,斗图表情助手,2017-01-17,斗图表情助手 - 这里有最新最抢眼的表情包，使用斗图表情助手，风趣幽默、个性化，由你来做主。-,0.0
盖得排行+,0,10250,0%,工具查询,家居用品汽车用品户外用品,盖得排行+,2017-01-20,盖得排行，查询各种商品品牌排名的小程序,0.0
黑洞故事+,3,10238,94%,阅读资讯,故事小说图片,黑洞故事+,2017-02-16,要么被故事吞噬，要么改变自己。,4.7
今日雾霾,0,10238,0%,生活,健康工具旅游效率,今日雾霾,2017-01-18,即时获取身边的空气质量指数,0.0
高清头像,0,10215,0%,社交表情头像,头像社交自媒体,wudaoxiao,2017-02-07,高清头像精选各类好看的头像图片，可用于各平台的头像设置，包含有情侣头像、非主流头像、个性头像等类型。,0.0
智阅涂书,1,10207,100%,教育学习,图书教育学习文都,世纪文都教育科技集团股份有限公,2017-02-07,《智阅涂书》是文都教育推出的记录学员学习轨迹，随时记录看书心得，可添加照片、书签、地理位置，自管理书架和心愿书单。,5.0
火车票机票,1,10194,100%,出行航班,交通出行火车票酒店飞机票,火车票机票,2017-01-17,　提供火车票、机票、酒店的产品预订，秉着用户第一的理念，能快速、便捷地完成预订的同时，也能享受全面、优质的售后服务，让您出行无忧，快乐每一程~,5.0
知识产权城,0,10175,0%,购物商城,知识产权城交易,知识产权城,2017-02-10,知识产权城，买卖知识产权，就到知识产权城。,0.0
星巴克用星说,1,10163,100%,社交社区,社交社区,星巴克用星说,2017-04-10,星巴克用星说小程序，提供全新社交礼品体验。选份星巴克好礼，用心定制专属的咖啡心意，即刻想在乎的人传递祝福，连接彼此。,5.0
微南阳lite,1,10158,100%,阅读,南阳新闻南阳网最新资讯生活资讯,微南阳lite,2017-02-09,南阳网是南阳市门户新闻网，河南省十佳，中国地方新闻网十强，拥有庞大的微矩阵，本地最大的粉丝群，旨在传播南阳，影响中国。,5.0
嘴霸子,0,10131,0%,购物,零食j进口零食各地美食,嘴霸子,2017-01-31,嘴霸子是一款手机零食购物软件，喜欢吃零食的吃货们有福了，嘴霸子提供全球各地的美食，所有进口商品同步销售，只要国外上架，嘴霸子马上就会有，让你和全球吃货同步吃到最棒的零食，让你嘴巴去环游世界。,0.0
贝贝拼团官方,1,10123,100%,购物团购,拼团购物商城,贝贝拼团官方,2017-01-20,一起拼团，乐享优惠！,5.0
老司机段子,0,10088,0%,阅读听书,搞笑段子社交趣味阅读表情,老司机段子,2017-01-24,老司机要开车了，快上车吧，抓稳、扶好，来司机带你飞~,0.0
把妹帮手,1,10084,100%,社交社区,资讯游戏动漫,把妹帮手,2017-01-23,手把手教你把妹技巧，分享最专业的泡妞秘籍！,5.0
一把刀汉英词典,0,10079,0%,教育单词字典,汉英词典词典,xinhuazidian,2017-02-10,一把刀汉英词典，提供14万汉字、词语的拼音发音、英文翻译、中英文例句等。,0.0
企鹅电竞+,0,10071,0%,社交社区,游戏娱乐手游游戏直播,企鹅电竞+,2017-01-17,当你扫码进入企鹅电竞小程序之后，你就会直接看到企鹅电竞直播主页，其实跟企鹅电竞app也差不多，几乎没什么区别，依然能够看到最热门的一些游戏直播，比如王者荣耀等一些手游！,0.0
香草招聘XiangCao,0,10049,0%,办公办公软件,找工作招聘求职兼职,香草招聘XiangCao,2017-01-23,香草招聘是一个针对年轻人的移动端招聘平台，强调快速的反馈，HR会在48小时内对你进行反馈，让石沉大海的情况不会再发生！,0.0
同程景点门票,0,9923,0%,生活票务,生活服务景点门票,同程景点门票,2017-01-13,一个提供八千家景点门票3-7折的预订平台。,0.0
经纬新闻,2,9917,80%,阅读资讯,新闻最新资讯财经新闻,经纬新闻,2017-01-20,中新经纬官方账号。中新社旗下财经新媒体，发布中外热点时政及财经资讯，精选有趣财经视频，传递权威解读声音。,4.0
表情汪,0,9916,0%,社交表情头像,特色图片图片编辑表情包斗图神器,表情汪,2017-02-05,表情汪小程序给大家带来了许多有个性的特色图片，除此之外还自带了自制图片功能，可以自己选择喜欢的图片进行编辑，很有趣哦，快来尝试吧！,0.0
初礼壁纸,4,9895,100%,图像美化滤镜,创意壁纸少女风格,程序cat,2017-02-07,初礼壁纸，精选女生风格创意壁纸，图片集中区。,5.0
全球汇率,0,9879,0%,工具计算器, 汇率换算投资理财金融,全球汇率,2017-01-23,华尔街见闻出品，一款覆盖全球主要国家货币的汇率换算工具，实时同步全球数据,0.0
今日大字报,0,9817,0%,阅读资讯,阅读,今日大字报,2017-01-17,今日大字报小程序是一个大字报编辑小程序，能够帮助你把你编辑的内容以大字报的形式体现，让人看起来更有感觉，更能够引起他人的眼球，从而阅读你编辑的内容！,0.0
微美加,0,9817,0%,母婴美妆,生活服务社交美容化妆美容资讯,微美加,2017-01-22,"“微美加（meirong8.com）”是一个美容化妆案例分享与问答社区。美妆爱好者可以在社区内浏览纹绣、化妆、美睫、点痣、脱毛等真实作品，并向美容化妆专家咨询问题，免费获得专业的解答，并预约相关服务。纹绣师、化妆师、美睫师等专业美妆技师可以在社区内展示自己的真实作品、回答潜在消费者的咨询。
“微美加”不是美容院，也不是美妆中介平台，我们提供免费、客观、公正、中立的美容资讯。我们通过线下50多家城市运营中心对美妆师的作品进行真实性认证，并开通专门的举报渠道，以确保美妆师的真实作品得到认证，并不会被盗用。我们不刷单，不删差评，美妆师发布和案例和回答的问题越多，就能得到越多的曝光机会，最大程度地确保了公平性。",0.0
空气小报告,0,9809,0%,工具天气,空气质量空气污染效率健康,空气小报告,2017-01-20,空气质量和天气查询，pm2.5实时监控,0.0
阿伯张家界旅游,1,9781,100%,旅游旅行,张家界;张家界旅游;张家界线路;张家界门票;张家界住宿,喜罗汉,2017-01-16,张家界旅游信息资讯及咨询服务；景点门票代理服务；酒店客房销售,5.0
南都自媒体,0,9769,0%,阅读资讯,新闻最新资讯生活资讯,南都自媒体,2017-01-20,南都自媒体延续了南方都市报系追求卓越勇于担当的新闻血统，致力于提供有情调、有情趣、有情怀、有情况的原创内容。为用户提供及时、专业、深度的城市生活资讯。,0.0
体质自测,0,9747,0%,健康健康,健康管理体质自测,体质自测,2017-01-23,人的体质有九种，顺应则健康。快速测出自己的体质属性,0.0
南宁掌上公交,0,9740,0%,出行交通,交通出行线路查询公交查询,南宁掌上公交,2017-01-18,可以查看公交实时位置、实时到站信息，帮助您提前了解公交到站情况，方便广大市民出门乘坐公交。,0.0
餐饮圈lite,2,9728,100%,生活美食,餐饮生活服务社交,餐饮圈-周冬明,2017-02-05,"餐饮招聘神器！
快速查看全国各城市招聘信息。
一大波餐饮好工作，都在这里等你呐，速速加入吧！",5.0
蜂鸟电脑维修,1,9708,100%,生活家政服务,维修上门维修电脑维修,蜂鸟网络,2017-01-17,蜂鸟电脑维修-提供上门电脑维修服务，同城电脑维修服务，手机微信提交报修、专业电脑工程师上门维修或远程指导。,5.0
宁波大事件,1,9702,60%,阅读资讯,宁波新闻资讯民生服务,宁波大事件,2017-02-08,宁波大事件传播宁波最新最热资讯，提供民生服务信息。由宁波日报报业集团都市报系倾力打造。,3.0
中华军事,2,9657,100%,阅读资讯,军事新闻资讯国防科技,xiaxiaoao,2017-02-09,军事站点——中华网军事，坚持以独特的视角报道军事资讯，用最专业的军事知识将用军事图库的方式为广大网友展示最新武器。,5.0
牛哲,2,9602,100%,教育学习,学历教育招聘求职培训机构资讯经营哲学,牛哲,2017-02-05,牛商网经营哲学,5.0
分期计算,0,9581,0%,工具计算器,贷款计算器分期计算,当当,2017-02-06,汽车贷款分期计算器,0.0
七维检核评估,0,9571,0%,教育儿童教育,育儿,七维检核评估,2017-01-13,一款适用于需要儿童能力评估的工具。,0.0
查查公交,0,9566,0%,出行交通,交通出行线路查询公交查询,查查公交,2017-01-19,"快速查询公交线路与当地实时天气情况,查查公交帮您轻松出行",0.0
实时汇率管家,0,9502,0%,工具计算器,投资理财金融股票证券汇率换算,实时汇率管家,2017-01-17,1.支持全球100多个国家的币种之间的汇率换算。 2.直观的换算界面。 3.后台实时汇率，前台5s内刷新。 4.更支持汇率变动提醒功能。,0.0
虹湾智能交通,0,9495,0%,出行交通,智能交通出行,虹湾智能交通,2017-02-13,"对产品的介绍,发布一些行业新闻。",0.0
捉鸡天气,0,9492,0%,工具天气,日历天气效率,捉鸡天气,2017-01-19,捉鸡天气--轻量级天气查询软件，分钟级、公里级天气预报，实时预报雨雪。,0.0
书法生成器,0,9467,0%,教育学习,书法教育,书法生成器,2017-01-19,生成各种书法字体,0.0
东方财富+,0,9457,0%,金融理财,股票基金股市行情金融理财,淡色调,2017-02-09,东方财富网官方小程序。东方财富网，中国财经第一门户，中国访问量最大影响力最大的互联网财经媒体。,0.0
手机随手查,0,9448,0%,工具查询,手机报价产品资讯信息查询,手机随手查,2017-01-20,随时随地了解最新手机报价,0.0
贺卡屋,0,9439,0%,社交社区,贺卡祝福贺卡贺卡定制,贺卡屋,2017-01-31,贺卡屋，您的私人贺卡定制管家！3秒轻松制作贺卡：选定模板，选贺词及颜色，签名，搞定了！预览后保存或分享给朋友（苹果手机需长按图才能弹出分享菜单），也支持自由编辑贺词。,0.0
蚂蜂窝攻略,1,9427,80%,旅游攻略,交通出行攻略酒店飞机票,蚂蜂窝攻略,2017-01-16,全球旅游消费指南。全世界最新、最潮的旅游攻略。帮助你行动，让你领略旅行的独特魅力。来蚂蜂窝，攻略你的世界！,4.0
蜗牛传书,1,9395,100%,社交社区,活动通知电影发布促销活动生活服务,蜗牛传书,2017-01-24,"发送一个在指定时间才显示的消息。

使用：
创建消息 => 生成一个倒计时页面 => 分享给朋友（聊天/群聊）

场景：
【新春祝福】选择一个有“新意”且“走心”的新年祝福方式，你想说得话，零点才能看；
【猜灯谜】时间到了，自会公布答案；
【情人节表白】“我一直想对你说...”。发送之后后悔也来不及了，不能修改，不能删除；
活动通知、电影发布、促销活动、同学聚合、新产品发布，网站上线",5.0
猫眼演出赛事,0,9387,0%,生活票务,门票预订演出赛事演出票,猫眼演出赛事,2017-01-18,提供最丰富的演出信息介绍，可方便的查询购买多个渠道的演出票。演出赛事一网打尽，精彩生活现在开始~,0.0
咖啡招聘,1,9376,80%,工具查询,咖啡学徒/师招聘求职,咖啡招聘,2017-02-09,咖啡沙龙COFFEESALON推出的咖啡馆/咖啡师招聘小程序,4.0
股票666,0,9375,0%,金融理财,金融理财股票,股票666,2017-02-13,好用的股票分析工具、全面分析个股基本面、机构面、技术面等数据。,0.0
落网音乐,5,9364,100%,音乐在线音乐,在线音乐,落网音乐,2017-02-08,落网音乐如果你想听一些不一样的音乐、想遇到一些不一样的人、在落网、你的这个梦想会成真.,5.0
青岛公积金官方版,0,9362,0%,工具查询,公积金信息查询,青岛公积金官方版,2017-01-18,查询公积金余额、缴存、提取及月还款明细情况等，方便快捷即时！,0.0
SMM安全令牌,0,9357,0%,工具查询,效率安全,SMM安全令牌,2017-01-23,"""Google Authenticator""（中文：Google身份验证器）的替代，即扫即用，免除不必要的下载！",0.0
小手稿,3,9328,100%,办公办公软件,备忘录摄影移动端图文编辑公众号生成,小手稿,2017-02-08,万达新媒体 出品--轻松实现移动端图文编辑混排，一键生成你的私人公众号。,5.0
美食男女mini,1,9312,100%,生活美食,餐饮生活服务美食分享菜谱,Vitalhint,2017-01-20,美食男女是通过简单易学的高清视频内容，向大家展示世界各地的优质美食及食谱的小程序。,5.0
迪粉汇应用,0,9299,0%,生活汽车,汽车知识汽车资讯交通出行,迪粉汇应用,2017-01-19,比亚迪汽车知识大讲堂,0.0
表情搜搜,0,9291,0%,社交表情头像,搞笑段子社交趣味阅读表情,表情搜搜,2017-01-17,最接地气的表情搜索！聊天斗图就用表情搜搜！,0.0
FIDE,0,9284,0%,金融理财,软件服务提供商小微数据化信贷解决方案,FIDE,2017-01-23,元宝铺FIDE是国内领先的小微数据化信贷解决方案，专注为银行等金融机构服务。目前已于浙商银行。泰隆银行等多家金融机构达成合作,0.0
一笔记账,0,9276,0%,工具计算器,记账理财生活消费清单记录,一笔记账,2017-01-23,一笔记账，最好用的记账小程序应用,0.0
gridplus,0,9223,0%,办公办公软件,项目管理任务管理移动考勤在线审批,gridplus,2017-02-05,格子加是一款解决企业内部协同办公的OA系统产品，支持项目管理、任务管理、移动考勤、在线审批、内部公告、日程管理、同事通讯录,0.0
留学资讯微报,0,9216,0%,教育学习,教育信息服务留学资讯,Zinch,2017-01-20,留学资讯精选，打算为大家用更好的体验呈现留学相关资讯，并且当资讯中关联了相关海外院校，大家可以直接查看院校相关信息。,0.0
头牌网,1,9173,100%,社交社区,投资创业,头牌网,2017-01-20,专门点评投资人的小程序，让你快速了解投资人的过往。,5.0
西瓜酒店预订,0,9103,0%,旅游酒店住宿,酒店预订周边搜索,西瓜酒店预订,2017-01-18,美团点评出品，酒店折扣优惠预订专家，无论情侣、家庭、度假或者商务出行，都能为您提供最具性价比的高品质多类型酒店预订服务。,0.0
芝麻二维码生成器,1,9001,100%,办公办公软件,二维码生成器社交工具,芝麻二维码生成器,2017-01-17,1. 方便解码，可以随时查看二维码的内容，扫码就可查看 特别功能：小程序带参数二维码解码功能，能查看小程序生成的参数二维码的内容 2. 生成二维码，网址，文字都支持 3. 分享可将生成的二维码分享给好友,5.0
K米点歌,4,8994,80%,音乐在线音乐,点歌预订KTV必备神器,K米神器,2017-01-24,全国KTV必备神器！点歌、预订、超市、会员卡一站式服务！KTV包厢直播互动，K歌新玩法，国内KTV聚会交友人气社区！,4.0
开眼视频Eyepetizer,0,8992,0%,视频在线视频,视频社交美食旅游,开眼视频Eyepetizer,2017-01-16,微信扫描上方开眼视频Eyepetizer二维码即可打开开眼视频Eyepetizer小程序，无需安装，如果喜欢请记得分享哦！,0.0
朝夕微课,0,8986,0%,教育学习,学习工具微课堂学习辅导,朝夕微课,2017-01-17,朝夕微课小程序是一款社会教育类型的小程序应用，朝夕微课小程序能够带给你各个方面的不同成长帮助，只要通过微信扫描朝夕微课小程序二维码就能进入朝夕微课小程序，在这里你可以随心订阅一些你喜欢的节目！,0.0
抢试用,1,8986,80%,母婴美妆,资讯美妆试用丽人,优美妆,2017-02-08,抢试用为用户提供优质商品的试用机会。用户通过试用报告分享体验，给商品做出公正的描述并帮助其他消费者做出购物决策。,4.0
砾石户外活动,0,8968,0%,旅游攻略,户外活动户外线路,砾石户外活动,2017-01-13,高品质户外线路、最炫户外玩法、深入秘境，让你感受与众不同的出行之路。砾石，带你玩出不同！,0.0
墨路通,0,8916,0%,出行交通,交通出行火车票酒店飞机票,墨路通,2017-01-16,墨路通提供基于用户位置的实时墨尔本地铁、电车与公交车班次信息。并在地图上显示用户周围的车站信息。,0.0
股票搜索,0,8909,0%,金融理财,资讯 投资 预测 股票搜索 大盘,信谁科技,2017-02-09,财经观点搜索引擎，从互联网平台、券商研报搜索财经预测观点，并提示观点可信度。,0.0
寓见公寓找好房,0,8893,0%,生活房产,租房找房,寓见公寓找好房,2017-01-20,提供自助找房、报修、保洁、投诉、支付房租等服务的平台,0.0
虎嗅精选,1,8820,80%,阅读资讯,新闻社交最新资讯,虎嗅精选,2017-01-16,聚合优质的创新信息与人群。 置顶虎嗅小程序，不错过互联网的每个重要时刻。,4.0
炉石传说小盒子,0,8797,0%,社交娱乐,游戏娱乐手游卡组资讯,炉石传说小盒子,2017-01-23,炉石传说天梯强势卡组展示与查询，可以分别按卡组强度和职业分类来进行快速查询。,0.0
地铁查询,0,8792,0%,出行交通,交通出行线路查询,地铁查询,2017-01-19,全国地铁查询，全国地铁线路查询，全国地铁站点查询,0.0
手机归属,1,8783,100%,工具查询,手机号查询属地查询,手机归属,2017-01-23,国内手机号码归属地查询。,5.0
节拍器Metronome,1,8779,100%,工具计算器,工具节拍器,売篼篼,2017-02-05,简单好用的节拍器，可调节速度和节拍。,5.0
孕妈速查,0,8769,0%,母婴育儿,日常饮食信息查询,孕妈速查,2017-01-23,这个食物孕妈能不能吃？用孕妈速查，一查就知！,0.0
米考试在线,0,8769,0%,教育学习,交流平台英语学习四六级雅思托福考研,王晓锋,2017-02-10,米考试聚焦于四六级，考研，雅思，托福，SAT等专业考试领域，包括听力，词汇类，阅读类，作文类，口语类等移动考试应用。,0.0
远味云仓,0,8715,0%,生活美食,商城零食地方特产,远味云仓,2017-01-18,来着远方的味道。,0.0
美丽乡村平台,0,8699,0%,阅读资讯,信息服务互联网,美丽乡村平台,2017-02-06,“美丽乡村”为“线上县下”平台中的一个子栏目，为县域经济中的农村经济提供优质的互联网信息服务,0.0
大方游,0,8668,0%,旅游攻略,旅游线路旅游经验,大方游,2017-01-24,我爱旅游5a56.cn旗下产品，为广大用户提供优质旅游线路，分享旅游经验。,0.0
我的薪资,1,8636,100%,工具计算器,薪资计算公积金基数,Z.Z.K.,2017-02-08,我的薪资是薪资税务计算器。方便的为您计算个人税务和五险一金的缴纳情况，还有有趣的分享功能提供给您。,5.0
极速配,1,8613,100%,工具查询,宅配速配快递,路遥,2017-02-08,极速配专为物流信息部，配货站提供发布货源平台。,5.0
转运查查,0,8606,0%,工具查询,物流查询快递,转运查查,2017-01-17,海淘物流查询，支持全球100多家转运公司物流查询,0.0
作文精选,0,8603,0%,教育学习,作文,查字典-作文网,2017-02-05,作文精选囊括了小学作文、初中作文、高中作文、话题作文、历届中考，高考满分作文等，满足不同年级段的学生作文写作指导的需求。,0.0
二维码小帮手,0,8599,0%,办公办公软件,二维码生成器社交工具二维码名片,二维码小帮手,2017-01-23,解析二维码，二维码生成器，二维码名片生成器。,0.0
万达发布,0,8595,0%,阅读资讯,新闻视频最新资讯,万达发布,2017-01-18,大连万达集团股份有限公司微官网，提供万达集团最新资讯，视频等信息。,0.0
菜谱大全A,0,8564,0%,生活美食,菜谱美食,Anglep_7l6,2017-02-06,介绍常用的家常菜，经典菜及经典小吃的做法及营养成分。,0.0
上上铺+,0,8549,0%,生活房产,店铺转让店铺转租,上上铺+,2017-01-18,上上铺，专注城市商铺直连。房东、租户精准对接，隐私有保密，电话无骚扰。管家线下专业实勘，租户线上实景看铺。,0.0
淘豆京东自营旗舰店,0,8537,0%,生活美食,淘豆零食饮料商城,淘豆京东自营旗舰店,2017-01-20,淘豆是一家致力于互联网销售休闲食品零食品牌，淘豆京东自营旗舰店是淘豆品牌入驻京东的官方店铺，由京东发货配送，快捷高效。,0.0
嘻哈爆笑吧,0,8513,0%,社交社区,娱乐搞笑段子趣味阅读搞笑图片,嘻哈爆笑吧,2017-01-18,嘻嘻哈哈为您提供最新的经典笑话、搞笑图片、内涵笑话、冷笑话、脑残对话、动态图、搞笑段子、欢迎笑话爱好者加入爆笑生活社区。,0.0
菠萝PASS,0,8508,0%,购物商城,旅游餐饮美食服装,菠萝PASS,2017-02-01,"第一批先覆盖泰国普吉岛、清迈，更多城市逐渐开通。让你在海外用微信支付就可以吃的好、
喝得爽。更多优惠，就在海外 吃喝玩乐一卡通 “菠萝PASS""",0.0
南航e行,2,8507,100%,出行航班,交通出行火车票酒店飞机票,南航e行,2017-01-17,南航e行小程序一共拥有四个大功能模块，航班动态、航延证明、餐食预定以及我，旨在结合微信平台为广大客户提供一流的航班服务。,5.0
晚安计划,2,8501,100%,社交娱乐,晚安计划晚安睡觉睡不着失眠IT科技公益工具生活生活服务社交影音,午后科技有限公司,2017-04-26,每一声来自陌生人的晚安，伴你进入温柔良夜。,5.0
今日金价查询,0,8478,0%,金融理财,黄金金价金价查询今日金价查询黄金价格走势图,淘好翠,2017-02-06,"黄金,金价,金价查询,今日金价查询,黄金价格走势图,周大福今日金价,中国黄金今日价格,老凤祥今日黄金价格,六福珠宝今日金价,周生生今日金价,老庙黄金今日金价",0.0
上海小资美食地图,0,8445,0%,生活美食,美食推荐商城生活指南,上海小资美食地图,2017-01-17,上海小资生活第一站，盘点上海最新，最小资，最有情调的美食生活资讯。精选100+个热门标签，4000条魔都生活指南，今天去哪儿轻松get！,0.0
口袋表情包+,0,8440,0%,社交表情头像,表情包 微信,南京微沐软件科技,2017-02-08,选择示例场景动图，拍摄视频上传，2秒即可制作专属于自己的表情包！,0.0
e袋购,0,8438,0%,购物商城,护肤品商城购物攻略生活服务,e袋购,2017-01-16,e袋购APP是睿楠投资管理有限公司推出的为满足用户生活消费和线上购物需求的移动购物商城软件，购物类目涵盖服饰鞋包、美妆护肤、生活家居、家电数码、母婴用品等品类，提供优质的品牌商品和服务,0.0
粤通卡应用,0,8406,0%,工具查询,账单查询明细查询网点查询高速服务路桥收费,粤通卡应用,2017-01-24,提供粤通卡账单及通行明细查询，网点查询等功能。,0.0
农行微服务,0,8401,0%,金融理财,农行银行金融服务预约排队,农行微服务,2017-01-22,让您随时随地畅享农业银行便捷高效的网络金融服务,0.0
ZAKER广州,3,8394,94%,阅读资讯,新闻资讯图片信息发布平台,ZAKER广州,2017-02-08,ZAKER广州将全网的资讯和图片等富媒体内容，尤其是本地权威媒体生产的内容提供给本地用户，也是本地权威的，综合的信息发布平台。,4.7
多圈,0,8384,0%,生活美食,美食推荐美食点评,多圈,2017-02-01,美食=点评+推荐,0.0
积分入户测评,0,8363,0%,工具查询,计算工具买房必备房产信息信息查询,积分入户测评,2017-01-19,深圳积分入户测评，积分计算评测是否符合入户条件,0.0
程序秀,2,8335,80%,办公办公软件,互联网开发工具技术,咫尺网络,2017-02-10,程序秀能为小程序爱好者提供最新资讯，培训服务和最新案例，旨在让小程序开发爱好者们可以随时了解小程序开发的相关信息。,4.0
来者人事,0,8325,0%,办公办公软件,人力资源管理智能考勤审批薪资计算,来者人事,2017-01-24,来者人事，是先进的人力资源管理云平台，为企业提供智能考勤，审批，薪资计算等功能，开创全新无简历微招聘模式。,0.0
房之宝,0,8321,0%,阅读资讯,房产资讯楼市资讯,房之宝,2017-01-18,房之宝，网聚南京楼市最全资讯,0.0
求大夫鉴定,0,8286,0%,健康健康,医疗咨询医生在线就医指导,求大夫鉴定,2017-01-13,什么值得买？42万医生为你把关，还有医生集体推荐的健康产品。,0.0
绍兴E网招聘,0,8274,0%,办公办公软件,求职招聘绍兴招聘,绍兴E网招聘,2017-01-18,"绍兴E网招聘,绍兴本地招聘15年，绍兴人才，绍兴工作在这里。本地招聘很可靠。",0.0
AA账本,0,8260,0%,工具计算器,账本理财结算工具,资,2017-02-05,与家人朋友一起记账。满足家人、旅行、合租等大部分使用场景。简单高效的AA工具。智能结算方案，省时省心。,0.0
八字历书,0,8251,0%,工具日历,效率天气定日子万年历,八字历书,2017-01-13,八字历书为您提供祈福、纳财、嫁娶等吉日查询服务。以及每日宜忌、诸神方位灯信息，并编制出了具有特色的通胜模式日历，以便查看。,0.0
简单心理Uni+,0,8218,0%,健康健康,心理咨询健康,朱峰 Ben ????,2017-02-07,简单心理 Uni，为成长中的咨询师提供明晰的成长路径。,0.0
好猎手,0,8199,0%,购物商城,商城海淘购物攻略,好猎手,2017-01-19,"发现新奇特的创意产品,满足你对创意设计的好奇,感受最新的科技前沿,体现新鲜玩意。",0.0
创投圈那些事,0,8198,0%,社交社区,金融社交,创投圈那些事,2017-01-13,创投圈那点事，专注创投圈的业内一手资料。,0.0
ileven京东自营旗舰店,0,8179,0%,购物商城,ileven干货坚果零食,ileven京东自营旗舰店,2017-01-20,ileven不仅仅是一份零食，还是一种休闲方式。悦享生活，从”健康“开始，选择ileven，用营养来取悦味蕾，用美味来享受生活。,0.0
途虎养车Tuhu,7,8145,98%,购物商城,养车修车汽车工具及配件,刘昕 Jessica,2017-02-06,【轮胎】 精确适配的正品轮胎，输入车型自动适配，400城市万家门店免费安装。 【保养】 精准适配大小保养及车型，厂家正品机油。,4.9
种子时间,0,8137,0%,工具时钟,计算工具教育,种子时间,2017-01-13,「种子时间」- 放下手机，享受生活 我们希望帮助用户能够更加专注的去做一件事，而不被玩手机等不必要的因素干扰或打断,0.0
拇指快充,0,8126,0%,购物商城,电商商业服务生活服务,拇指快充,2017-01-16,提供手机话费和流量充值服务，为用户提供方便快捷的充值渠道。全网最低价！,0.0
医师法律问答,0,8119,0%,社交社区,法律服务律师法律咨询法律援助,医师法律问答,2017-01-18,通过提供法律问答服务，提高医师自我保护能力，倡导医师自律，改善医师职业环境。,0.0
一分钟评车,0,8100,0%,生活汽车,视频购车资讯语音,一分钟评车,2017-01-20,国内知名车评人YYP语音评车；新车试驾、车型评测、缺点揭露，点击一分钟评车马上收听吧！,0.0
表情包控,0,8095,0%,社交表情头像,二次元动漫欧美美剧英剧日剧韩剧表情表情包字幕台词番剧B站A站,歪歪,2017-02-13,动漫新番、欧美日韩剧集无水印表情包、字幕截图大搜罗,0.0
申万宏源新股日历,1,8094,100%,金融创投,投资股票股市动态,申万宏源新股日历,2017-02-09,申万宏源新股日历提供各种类新股动态，可申购、配号股票、中签股票、待上市等,5.0
豆瓣评分,1,8067,100%,阅读资讯,电影电视娱乐电影评分,豆瓣评分,2017-01-17,豆瓣评分小程序二维码是微信新版本推出的豆瓣评分小程序入口，豆瓣评分小程序提供电影查询与评分公示，抛弃其他多余的功能，专注做一个电影评分展示工具。,5.0
袖扣VR,0,8061,0%,阅读资讯,新闻资讯测评VR眼睛,袖扣VR,2017-01-24,关于VR眼睛的品牌、新闻、测评、教程、专题等资讯了解，让用户最快的了解和使用VR眼镜，VR眼睛商品的相关资讯、参数、图片的预览,0.0
喵姐育儿问答,0,8054,0%,教育儿童教育,育儿早教,喵姐育儿问答,2017-01-16,北师大学前教育硕士，著名早教专家高寿岩，用26年早教专业经验，帮助0-6岁宝宝早期教育、性格养成。家庭教育的技巧和靠谱知识都在这里！,0.0
孩教圈故事,0,8040,0%,阅读听书,有声读物幼儿音乐故事绘本,孩教圈,2017-01-23,孩教圈故事，0-12岁孩子的故事机，睡前故事、绘本故事、名著故事等上百种故事，还能创作自己的故事，更有儿歌、动画、知识等内容，给孩子一个有故事的童年,0.0
厕所在哪,1,8032,100%,工具查询,生活服务公益,Answer,2017-02-07,内急怎么办?通勤助手微你快速找到附近的厕所!舒坦!,5.0
跑步训练,0,8023,0%,健康运动,跑步健身,赵东|赵知了,2017-02-13,"跑步训练是一个面向热爱跑步人群的小程序。如果你喜欢远距离跑，那最适合不过了！
在这里你可以获得来自国内马拉松冠军制定的科学训练方案。
按照科学的方案进行训练，不仅能够提高你的跑步能力和成绩水平，还能够让你在提高过程中避免受伤，快乐奔跑。",0.0
瓯柑新闻,0,8023,0%,阅读资讯,瓯柑新闻最新资讯新闻温州晚报,瓯柑新闻,2017-02-01,温州日报报业集团旗下温州晚报官方小程序，为用户滚动发布温州资讯和温州人关注的资讯。,0.0
